Source,Target,type_of_content
SesshaBatto,NYTNational,Retweet
JHillport,ddale8,Retweet
xochi_x,veritasunknown1,Retweet
DitullioMary,rogerkver,Retweet
ShinhanShuichi,BNODesk,Retweet
joy2b360,chuckwoolery,Retweet
DamonParker1,charliekirk11,Retweet
KathleenMDanes,nypost,Mention
Jusretscpo,SethAbramson,Retweet
johnmstrouth,JackPosobiec,Retweet
BxEU4J,NYCGreenfield,Retweet
juunequuagraine,TobiRachel_,Retweet
r_middagh,HamillHimself,Retweet
GetShipWrekt,GetShipWrekt,Tweet
Republicisdead,tomselliott,Retweet
Republicisdead,SpeakerPelosi,Mention
patgill69033215,steve_c1970,Retweet
CaloLara,cnnbrk,Retweet
rwindrem,MaryMurrayNBC,Retweet
mommyyoung157,juliebosman,Retweet
theguru007,IamNurseTrish,Retweet
wesryantweets,lookner,Retweet
wesryantweets,ai6yrham,Mention
cat_joba,ReaganWorld,Retweet
kadajoza,KamVTV,Retweet
darkblackone,darkblackone,Tweet
ADRoy78296765,STcom,Retweet
jimmyduranluna,NatGeo,Retweet
Mr1738,iamtheFLYEST,Retweet
Mr1738,KeriHilson,Mention
susheelkbfi,nytpolitics,Retweet
drmlb,Yamiche,Retweet
drmlb,JDiamond1,Mention
semby24,ProfMJCleveland,Retweet
littleoldme_2,GregAbbott_TX,Retweet
LawrenceC_,lilbarbacoa_,Retweet
zulfiqarckt135,Sajid92325309,Retweet
Sandie79797427,pushforward40,Retweet
rshabazz,JoeBorelliNYC,Retweet
HenshinHead,NYDailyNews,Retweet
jolyro1,V_of_Europe,Retweet
nehdah,intheMatrixxx,Retweet
bellawoohoo,MarshaBlackburn,Retweet
jjsmaga7,IngrahamAngle,Retweet
real_Stephanie,NumbersMuncher,Retweet
katieKeys17,markmobility,Retweet
nickicarri,kylegriffin1,Retweet
Lahori_Bhaijaan,JuddLegum,Retweet
MeganMe61079108,j7eon,Retweet
dr_masooma,Jhagra,Retweet
jasonferrell,brianschatz,Retweet
SheraPrincessP,DocBear5,Retweet
golgiry,ezralevant,Retweet
TankieBankie,chrisjollyhale,Retweet
baalter,HyltonRobin,Retweet
baalter,POTUS,Mention
greg12664033,BillHagertyTN,Retweet
AmySperopTV,SCSSuptRay,Retweet
TheOtherYnnep,lindayueh,Retweet
kate_piffero,ByMikeBaker,Retweet
JT7504,rising_serpent,Retweet
JT7504,PlanetTyrus,Mention
JT7504,POTUS,Mention
JT7504,realDonaldTrump,Mention
Skreennaym,MAGA2ARIGHTS,Retweet
ElviaIglesias,DanielNewman,Retweet
BradKirby626,HKrassenstein,Retweet
macmomma123,JesseKellyDC,Retweet
Na_Oamal,MimiReeds,Retweet
bennettLee12,Battelle,Retweet
bennettLee12,Battelle,Mention
bennettLee12,WOSU,Mention
roripierpont1,intelligencer,Retweet
DrPoona24413755,Imamofpeace,Retweet
ThinSkinTrump,ryanstruyk,Retweet
ThinSkinTrump,CNN,Mention
700MHz,kylegriffin1,Retweet
StephieGilley,LutherBeckett,Reply
StephieGilley,LutherBeckett,Mention
Chessydee1,kayleighmcenany,Retweet
greenvergewoman,carolineplayle,Retweet
3L3V3NTH,Pervaizistan,Retweet
KdbugA,RealJamesWoods,Retweet
lumberjackwizrd,Mikel_Jollett,Retweet
DjJJofficial,AdamMilstein,Retweet
alicia45KAG,GmanFan45,Retweet
alicia45KAG,Inevitable_ET,Mention
alicia45KAG,Mediaite,Mention
alicia45KAG,Twitter,Mention
alicia45KAG,RudyGiuliani,Mention
PoddarNisha,news18dotcom,Retweet
MonicaKubesa,MysterySolvent,Retweet
TrinityTruth3,ClayTravis,Retweet
reebaker_,renoomokri,Retweet
christi47693590,BlasianDime,Retweet
mickmca32,PhilipObin,Retweet
smilezrus,JamesTodaroMD,Retweet
Duke38996116,Inevitable_ET,Retweet
Penny7091,UniteCountryPAC,Retweet
Penny7091,FoxNews,Mention
musings_mary,OnlyGod4ever,Retweet
bnhunter3273,SaraCarterDC,Retweet
bnhunter3273,toddstarnes,Mention
AmeeJack,Marathon__Ali,Retweet
99_rocket,NYTScience,Retweet
gschoppe,drewmagary,Retweet
gschoppe,IChotiner,Mention
rvoltz,rvoltz,Tweet
mollypriddy,jentaub,Retweet
caddiesRpeople2,jimsciutto,Retweet
724Best,LifeNewsHQ,Retweet
RMJewell,nbcchicago,Retweet
HenningHeine1,meaganmday,Retweet
pinnie99,pinnie99,Tweet
mjcaswell,ddale8,Retweet
KArshad13,scroll_in,Retweet
DaveTwaterfield,Trey_VonDinkis,Retweet
vxjoe,Surgeon_General,Retweet
MikeR2793,CaliaDomenico,Retweet
blu3cloak,blu3cloak,Tweet
WyKodie,catturd2,Retweet
Ginger7730W,ryanstruyk,Retweet
Ginger7730W,CNN,Mention
ERN_Malleyscrub,Sarah_Alice_X,Retweet
wiredx1,proxcee,Retweet
marcedavis,marcedavis,Tweet
KurtJ81,chrisjollyhale,Retweet
BiztheBuz,afshinrattansi,Retweet
RossMcleanSec,ianbremmer,Retweet
dav1dwh1te,keithboykin,Retweet
AmyChan30622915,HRF,Retweet
Len_Palajac,IngrahamAngle,Retweet
melodeetwo,IngrahamAngle,Retweet
Krm1285A,BlondieVex,Retweet
tenej_jenet,sabrinasingh24,Retweet
tenej_jenet,KamalaHarris,Mention
tenej_jenet,JoeBiden,Mention
Harris11Marc,PaulWestonEden,Retweet
TSJ70,VanJones68,Retweet
cbtuck62,cbtuck62,Tweet
FenixRising_,V_of_Europe,Retweet
TexanRational,DrDenaGrayson,Retweet
TexanRational,realDonaldTrump,Mention
JonesthePoet,RyanQasem,Retweet
Lovenlife19691,David_Leavitt,Retweet
ShadyLadyMe,realDonaldTrump,Retweet
MaxHayzz,xtrabiggg,Retweet
MaxHayzz,NBCNews,Mention
MaxHayzz,POTUS,Mention
Samir_fl,Samir_fl,Tweet
brazilceez,paulkrugman,Retweet
margaretbaldw19,TheTNHoller,Retweet
fine140,travisakers,Retweet
sundene,CNN,Retweet
chuckmoran7,PittsburghPG,Retweet
BirdsLuvFlyers,BrandonStraka,Retweet
LKCyber,NYGovCuomo,Mention
Abbadur_les,brown_skin_rose,Retweet
Kamalde17935217,globaltimesnews,Retweet
EvieLikeChevy1,anthonydepalma,Retweet
mmfay6,MSNBC,Retweet
FahmidMorshed,FahmidMorshed,Tweet
lionizethetruth,charliekirk11,Retweet
mosbren,jimsciutto,Retweet
clairkiran,TobiRachel_,Retweet
JonasKaiser,IChotiner,Retweet
IAMLENAYE,JoeBorelliNYC,Retweet
ResultFilms,jimsciutto,Retweet
Aftabsayyad17,suparnomoitra,Retweet
Aftabsayyad17,BeingSalmanKhan,Mention
Aftabsayyad17,narendramodi,Mention
ricardo_ik_ahau,LatinoLdnOnt,Retweet
KarenTookeyCoff,cooperchip1,Retweet
pelotonattacker,Lexialex,Retweet
mcat57374744,MilspergActual,Reply
mcat57374744,MilspergActual,Mention
mcat57374744,GOPChairwoman,Mention
HumphreyPT,SteveDeaceShow,Retweet
LenayTatiana,ryanstruyk,Retweet
CooL_AzuL_420,s8nstan,Retweet
kaivin7,IngrahamAngle,Retweet
mehriehla,eugenegu,Retweet
mehriehla,realDonaldTrump,Mention
mehriehla,nytimes,Mention
MariStew8,PhilipRucker,Retweet
swissbusiness,swissbusiness,Tweet
rpmishra,ANI,Retweet
FlaShBloGLive,FlaShBloGLive,Tweet
wpkramer,charliekirk11,Retweet
TJ_Slats,trump_noodle,Retweet
paulbrettnissen,paulbrettnissen,Tweet
MYOS4,JuddLegum,Retweet
carb_jon,RealMattCouch,Retweet
schnei62,maddow,Retweet
laiwankee1,HKWORLDCITY,Retweet
laiwankee1,WHO,Mention
laiwankee1,rthk_news,Mention
AndrewC84510951,Imamofpeace,Retweet
kilmer_wendy,SaraCarterDC,Retweet
kilmer_wendy,toddstarnes,Mention
13jaydilla,brown_skin_rose,Retweet
WendyBr93495336,SenSanders,Retweet
KLF00383321,JesseFFerguson,Retweet
DrewMatthewsKU,ClayTravis,Retweet
londonjustin,SethAbramson,Retweet
b_minich,SportsCenter,Retweet
NaZLeLu,richardjensor,Retweet
aa112233c,Dinesh_Jat_,Retweet
CAGolembeski,chesaboudin,Retweet
CAGolembeski,nytimes,Mention
TracyNovick,TracyNovick,Tweet
anamariadeluca,InactionNever,Retweet
MAGAMomSWFL,SaraCarterDC,Retweet
MAGAMomSWFL,toddstarnes,Mention
KeLLoN_Z,WhiskeyRiff,Retweet
kahruveldesign,ryanstruyk,Retweet
kahruveldesign,CNN,Mention
Richardfl99,IngrahamAngle,Retweet
StephPurryFurry,StephPurryFurry,Tweet
BizNewsJobs,SoligoMarta,Retweet
BizNewsJobs,WTTC,Mention
Edourdoo,Edourdoo,Reply
YuzuMSX,Zerochan,Retweet
its_jamlee,BNODesk,Retweet
KarisDenise,DavidCayJ,Retweet
grannysidney,onesarahjones,Retweet
garwoodgal,ryanstruyk,Retweet
Natalie_Hatcher,iamvandal617,Retweet
God4All444,SLT20201,Retweet
MikePostman,MarshaBlackburn,Retweet
RussSwall,Yamiche,Retweet
mom2dlh,atrupar,Retweet
MINTINTOSHI,MailOnline,Retweet
Frankiadu,iamtheFLYEST,Retweet
Frankiadu,KeriHilson,Mention
MagaNordic,love4thegameAK,Retweet
Success89240303,RealCandaceO,Retweet
Alex_Albert,Alex_Albert,Tweet
AnhLagos,HRaleighspeaks,Retweet
NotHoneyWest,jimsciutto,Retweet
michaeljeaton,tomselliott,Retweet
michaeljeaton,SpeakerPelosi,Mention
douglaswolk,nxthompson,Retweet
Veta_Black,thedailybeast,Retweet
TheAgeOfAGs,SteveSisolak,Mention
TheAgeOfAGs,AaronDFordNV,Mention
Tommand4,SethAbramson,Retweet
GAstucker,FuckYugi,Retweet
JenniferJx5,GOPChairwoman,Retweet
StuMarsh9,StuMarsh9,Tweet
DeadHead__,TobiRachel_,Retweet
SatsahebCreati1,Dinesh_Jat_,Retweet
duchessestonia,CNN,Retweet
bjrnrkstr,NorbertElekes,Retweet
wagstl,nytopinion,Retweet
interpolusa,JuliaDavisNews,Retweet
First_Choice,RealSaavedra,Retweet
LennaLeprena,LennaLeprena,Tweet
369michelle369,SaraCarterDC,Retweet
369michelle369,toddstarnes,Mention
papula8881,WayneDupreeShow,Retweet
a_r_thomps,parul_sehgal,Retweet
Gatre2017,Gatre2017,Tweet
Vkumarvinodkum2,Vkumarvinodkum2,Tweet
madamepasquier,catturd2,Retweet
glutenfreekorea,BreitbartNews,Retweet
ambrishgupta11,ambrishgupta11,Tweet
yvettelynn595,TheDemCoalition,Retweet
modernromans,jeremyherb,Retweet
gemisura,jennycohn1,Retweet
FDTProgressive,HeerJeet,Retweet
FLWildcat,SethAbramson,Retweet
saurabhtodi,oommen,Retweet
saurabhtodi,doctorsoumya,Mention
MurfAD,axios,Retweet
cococonrad,cococonrad,Tweet
Tenshi_Akira,jeremyherb,Retweet
Q022A022,sophiesmom1018,Retweet
ShawnRobb3,mog7546,Retweet
PatWilsonInfo,PatWilsonInfo,Tweet
kris10kae,NPR,Retweet
bev_baudin,RealCandaceO,Retweet
UAPbug,60Minutes,Retweet
spug32555,TomFitton,Retweet
spug32555,DrJeffColyer,Mention
marcus_otomo,TeamTrump,Retweet
marcus_otomo,JDiamond1,Mention
marcus_otomo,realDonaldTrump,Mention
mshannonmc,MarshaBlackburn,Retweet
draculafye,HRF,Retweet
ThatBengalsGuy,A_Mass2,Retweet
Macgyyver,carolynryan,Retweet
AestheticSenpa1,lookner,Retweet
AestheticSenpa1,ai6yrham,Mention
JLHERRIAGE,ABC,Retweet
dennygirltwo,tommcintyre1947,Retweet
Harrysvlnt,j7eon,Retweet
CherylGHeller1,RyanAFournier,Retweet
LMWrothkicks,AprilDRyan,Retweet
LMWrothkicks,realDonaldTrump,Mention
PohoToskos,AdamMilstein,Retweet
Tatianna_bossin,Tatianna_bossin,Tweet
FLOTUK,NorbertElekes,Retweet
iamggurjar,alvinfoo,Retweet
MarinesBravery,MarForRes,Retweet
MarinesBravery,DeptofDefense,Mention
AvraamH,AvraamH,Tweet
KingPriyeDiri_,pzf,Retweet
Frozencottage,Netsbridge,Retweet
insankanchu,insankanchu,Tweet
LizChow_,crainsdetroit,Retweet
cultivatediq,sallyKP,Retweet
DukeEukel,JamesTodaroMD,Retweet
Angela_Blair,kyodo_english,Retweet
StacyMichelleB,BillR,Retweet
sandipsabharwal,sandipsabharwal,Tweet
b_mcnett,Mikel_Jollett,Retweet
seriouschick,seriouschick,Tweet
sommerleigh222,nprmusic,Retweet
TrumpCrisis,jimsciutto,Retweet
RUUBANO,KatiePhang,Retweet
goodwill_tommy,JewhadiTM,Retweet
salsaprawinda,OH_mes2,Retweet
bestseller011,bestseller011,Tweet
Willwaukee,AdamMilstein,Retweet
shazrasul,nytopinion,Mention
Jon66125533,CBCAlerts,Retweet
Geohuffdc,Yamiche,Retweet
shelly_driscoll,RyanAFournier,Retweet
nobsan777,kr3at,Retweet
LyndensGBolt,JoeNBC,Retweet
citizen_beijing,MichaelCoudrey,Retweet
turboduomaxwell,Zerochan,Retweet
maroliva22,AndrewBloch,Retweet
TeresaM69318653,MichaelCoudrey,Retweet
cloudyip,The_Japan_News,Retweet
themyra_,HussainAnwarr,Retweet
oreo_tinker,oreo_tinker,Tweet
Mr_BorisJohnson,Mr_BorisJohnson,Tweet
Nigelgladstone,profagagne,Retweet
PFWRIGHT,NBCDFW,Retweet
marykhaley,Yamiche,Retweet
marykhaley,JDiamond1,Mention
PearlsAmongUs,paulkrugman,Retweet
Werepossum,Mikel_Jollett,Retweet
iam_ccynnthhiaa,chrisjollyhale,Retweet
cmcc1975,maddow,Retweet
OQuinnTerry,FrankFigliuzzi1,Retweet
jellybeancount1,kayleighmcenany,Retweet
jellybeancount1,realDonaldTrump,Mention
nickytubes,AdamMilstein,Retweet
celmak64567,WhiteHouse,Retweet
deanndye,DrDenaGrayson,Retweet
deanndye,realDonaldTrump,Mention
SteveGiliberti,KamVTV,Retweet
mary_mcdermid,thedailybeast,Retweet
mary_mcdermid,TheRickWilson,Mention
Concerned4USofA,ryanstruyk,Retweet
Concerned4USofA,CNN,Mention
JudyRoosa,MarshaBlackburn,Retweet
ARTHURGCARTER1,ARTHURGCARTER1,Tweet
tara_harms,chrisjollyhale,Retweet
StolteNick,ClayTravis,Retweet
KenElli55412466,EmilyRoseFinn,Retweet
KenElli55412466,OANN,Mention
KenElli55412466,JennPellegrino,Mention
44Jimhawk,SunSentinel,Retweet
JoGilley1,jimsciutto,Retweet
TheTybeeTimes,TheTybeeTimes,Tweet
cckubemarie,jimsciutto,Retweet
RialtoBoard,Surgeon_General,Retweet
IneptBisexual,hannahcrileyy,Retweet
notthegirlnext3,CTVNews,Retweet
EmilyLozano,InactionNever,Retweet
Narcogoth,palabrasdeabajo,Retweet
janexbond,realDonaldTrump,Reply
janexbond,realDonaldTrump,Mention
randymulyanto,NAR,Retweet
olga_bellas,marcorubio,Retweet
alandra_08727,KamVTV,Retweet
andrewvision09,Yamiche,Retweet
Pray2MakeIt,thomaskaine5,Retweet
purpleH2Oski,PhilipRucker,Retweet
Life247News,Life247News,Tweet
TrixieParker1,TeamTrump,Retweet
TrixieParker1,JDiamond1,Mention
TrixieParker1,realDonaldTrump,Mention
gato918,jimsciutto,Retweet
Lalalan30174980,marcorubio,Retweet
nativeronin,ByMikeBaker,Retweet
cesarbrea,cesarbrea,Tweet
salmaafira,cloverblossoms_,Retweet
MARKANDDAVE2,AdamMilstein,Retweet
RusticRetrieval,60Minutes,Retweet
bria_mcguinness,bria_mcguinness,Tweet
NicoMcNamee,chrisjollyhale,Retweet
Dappy_52,JuddLegum,Retweet
nabilahudatahar,BRICBreaker,Retweet
Canadabuster,Canadabuster,Tweet
mimim_cochran,tedlieu,Retweet
danpysno,Hennepin,Retweet
Deliasacarello1,DavidLat,Retweet
shbeetle,shannonrwatts,Retweet
rose_bellamy,krisztinastar,Retweet
Justice35710259,JackPosobiec,Retweet
melissacammaran,SenSchumer,Retweet
BoHoover,Cernovich,Retweet
yungbendecir,yungbendecir,Retweet
Oliver2432,MAGA2ARIGHTS,Retweet
NEOMD71,ClayTravis,Retweet
BenMaracek16,AASchapiro,Retweet
omarsrivero,GregAbbott_TX,Retweet
dennyl64_bob,jayrosen_nyu,Retweet
robsonhcosta,jacobinmag,Retweet
LindaPi98833415,IngrahamAngle,Retweet
angeloisandoval,ChatfieldKate,Retweet
angeloisandoval,RAPPcampaign,Mention
wander7lust,calamur,Retweet
cometsteele,MichaelCoudrey,Retweet
MAGA_USMC,PrisonPlanet,Retweet
dessalvarez1,mrsrats,Retweet
geauxvols,ClayTravis,Retweet
debsomewhere,ThomasS4217,Retweet
julioquest,CaliaDomenico,Retweet
jralvins,DavidLat,Retweet
BeccaDavis14,jenniferbaer,Retweet
tarunsinghania8,Real_Heena,Retweet
diva_barb,DirtyPrune,Retweet
Vamosgirl1,CNN,Retweet
MW_PanteraNera,keithboykin,Retweet
mr_ericryan,DrDenaGrayson,Retweet
mr_ericryan,realDonaldTrump,Mention
dragonzord42,NPR,Retweet
fourwaters,ruthbenghiat,Retweet
fourwaters,FoxNews,Mention
Riokaii,ThePlumLineGS,Retweet
9jorgeruiz,MuhammadSmiry,Retweet
ZepedaMcMillan,AprilDRyan,Retweet
ZepedaMcMillan,realDonaldTrump,Mention
gtconway3d,ryanstruyk,Retweet
gtconway3d,CNN,Mention
calling12001,BreitbartNews,Retweet
JannyTsunami,chrisjollyhale,Retweet
_nerdiee,JoshGrelle,Retweet
inhechoi,paulkrugman,Retweet
cehddy,cehddy,Tweet
shannong617,MikeLarsenOH,Retweet
RHicks,jenniebreeden,Retweet
_sen__pai,shaunrein,Retweet
kirchbabe,gatewaypundit,Retweet
Busaking1340,NHLAdamK,Retweet
ifyosunkwomd,DrChinazo,Retweet
GayAALDS,nancylevine,Retweet
HinderTrump,jayrosen_nyu,Retweet
arbitrix,arbitrix,Tweet
aussie336,sahouraxo,Retweet
BonnieL27773370,KamVTV,Retweet
ac35tw_aoa,LifetimeUSCN,Reply
ac35tw_aoa,LifetimeUSCN,Mention
ac35tw_aoa,wasure_sakura,Mention
Jonatha41468427,kylegriffin1,Retweet
iamJEHOVA,spectatorindex,Retweet
gbeach2106,tomselliott,Retweet
gbeach2106,SpeakerPelosi,Mention
nuestoyou,DrunkLiz1,Retweet
mcrthrprk,kylegriffin1,Retweet
anntirrell,eliehonig,Reply
anntirrell,eliehonig,Mention
anntirrell,SpiroAgnewGhost,Mention
TheEagle973,cbcnewsbc,Retweet
gabrfranke,proindio,Retweet
gabrfranke,UN4Indigenous,Mention
bayfield15,SBSNews,Mention
sheishera_,atomaraullo,Retweet
ShaneIsAGuy,KSIOlajidebt,Retweet
Ode30508101,christufton,Retweet
Jangel482,JoeNBC,Retweet
UMiamiNeuro,NeurologyToday,Mention
Sheck_100,InactionNever,Retweet
lisasgiller,jayrosen_nyu,Retweet
MatthewCronin9,brianstelter,Retweet
MatthewCronin9,ddale8,Mention
MatthewCronin9,tarasubramaniam,Mention
ShAdOwXPR,jimsciutto,Retweet
GregA1313,DavidLat,Retweet
AcnMg29one,aaron_leib,Retweet
ktvrlnd,chrisjollyhale,Retweet
hamagnani,JoeNBC,Retweet
PatriotBluesT,MAGA2ARIGHTS,Retweet
Gwydion620,joncoopertweets,Retweet
Wolfenhaus,Wolfenhaus,Tweet
pam1715,SaraCarterDC,Retweet
pam1715,toddstarnes,Mention
MagaNordic,love4thegameAK,Retweet
GodBlessMe18,Mrfriscofrank,Retweet
GodBlessMe18,flyboymarv,Mention
sro459,nytpolitics,Retweet
ItzGeralyn,IngrahamAngle,Retweet
Peaceonwards,MiriamElder,Retweet
WendyTheRealtor,FOX40,Retweet
KhalidPayenda,AdamMilstein,Retweet
Vireemma,cnnbrk,Retweet
Jeezy_G2,A_Mass2,Retweet
chrystaldragon,nytimes,Retweet
Allan_Wrestle,Allan_Wrestle,Tweet
sundidshine,funder,Retweet
pipiiiiiiii_,nobisha,Retweet
ebspivey11,TobiRachel_,Retweet
neal_katyal,DavidLat,Retweet
emp4all,nytpolitics,Retweet
Cambria4DD,jimfusillibooks,Retweet
donnacabrera23,DrunkLiz1,Retweet
ZamiGhorl,j7eon,Retweet
hubashia,CDCgov,Retweet
Proudmom4124,B52Malmet,Retweet
Proverbs312526,charliekirk11,Retweet
I_Ball_21,BleacherReport,Retweet
mitch61nm,SethAbramson,Retweet
TurnerKD4,JoeBiden,Retweet
bbodine18457,RyanAFournier,Retweet
CuomoCorruption,PIX11News,Retweet
PRASADS52562145,subhash_kak,Retweet
yojudenz,KatDelT,Retweet
Ruthedit,ajitxsingh,Retweet
jtamboli,BNODesk,Retweet
JEvansEagle,severns_kris,Retweet
RAWisJerich0,keithboykin,Retweet
hecivan70,IamthatIam888,Retweet
SuperTobii,NorbertElekes,Retweet
edod2012,thebradfordfile,Retweet
kenn264,SethAbramson,Retweet
mannionFL,DavidLat,Retweet
gaaraxemi,brown_skin_rose,Retweet
SyedIqtadar,JeremyMcLellan,Retweet
khaliljoness,MichaelBensonn,Retweet
jdar57,SethAbramson,Retweet
ivebeenfarting1,SenSanders,Retweet
nobsan777,kr3at,Retweet
TRWickord96,ClayTravis,Retweet
JoWilso99859694,funder,Retweet
dbfinal5,AngrierWHStaff,Retweet
davidvasandani,jimsciutto,Retweet
sccoastaldude,JaneLytv,Mention
mandikaye,DrDenaGrayson,Retweet
mandikaye,realDonaldTrump,Mention
